rating,director,release_year,listed_in,title,country,duration,type,Cluster
3,603,0.0,124,883,80,205,0,2
10,3066,0.823529411764706,421,6622,52,0,1,1
7,3066,0.823529411764706,295,3308,52,0,1,1
6,3066,0.0,408,6277,52,110,1,3
6,3066,0.823529411764706,393,5575,52,0,1,1
6,3066,0.823529411764706,294,1314,52,0,1,1
10,3066,0.6470588235294118,441,5488,52,102,0,0
10,3066,0.6470588235294118,441,5490,52,122,0,2
10,3066,0.5882352941176472,441,5492,52,122,0,2
9,3066,0.7647058823529412,401,6475,52,0,1,1
6,3066,0.7058823529411765,412,2797,52,110,1,3
9,3066,0.7058823529411765,411,4764,52,0,1,1
9,3066,0.7058823529411765,392,8135,52,0,1,1
6,3066,0.7058823529411765,411,8783,52,0,1,1
6,3066,0.3529411764705883,411,1210,52,0,1,1
9,3066,0.7058823529411765,392,8180,52,0,1,1
6,3066,0.6470588235294118,411,8396,52,0,1,1
6,3066,0.7647058823529412,381,5377,52,0,1,1
8,3066,0.6470588235294118,402,1453,52,0,1,1
3,3581,0.0,124,884,80,206,0,2
4,3565,0.17647058823529416,60,920,80,19,0,0
5,4211,0.7058823529411765,0,1185,7,210,0,2
4,4020,0.0,308,1377,80,52,0,0
3,3280,0.29411764705882354,132,1594,80,210,0,2
6,3066,0.7058823529411765,411,1849,52,0,1,1
5,3461,0.0,47,1899,80,8,0,0
4,1963,0.0,162,2418,80,6,0,0
4,2129,0.8823529411764707,336,2471,80,21,0,0
5,1924,0.11764705882352944,343,2557,80,18,0,0
6,3066,0.6470588235294118,393,5324,52,0,1,1
5,2635,0.17647058823529416,229,2785,80,219,0,2
8,3066,0.7647058823529412,408,8080,52,0,1,1
4,804,0.3529411764705883,62,3351,80,58,0,0
5,3212,0.0,317,4322,80,101,0,0
4,3017,0.0,184,4340,80,217,0,2
4,1602,0.0,308,4845,80,5,0,0
8,3066,0.7647058823529412,280,421,52,168,0,2
8,3066,0.3529411764705883,411,7117,52,0,1,1
8,3066,0.17647058823529416,411,7179,52,0,1,1
6,3066,0.29411764705882354,411,7406,52,0,1,1
6,3066,0.23529411764705882,241,7800,52,0,1,1
9,3066,0.7058823529411765,393,3332,52,0,1,1
3,1602,0.0,126,4846,80,219,0,2
3,977,0.6470588235294118,124,5237,80,203,0,2
5,983,0.23529411764705882,20,5462,80,17,0,0
3,2043,0.29411764705882354,132,5474,70,211,0,2
4,4500,0.8823529411764707,184,5506,79,211,0,2
4,1381,0.0,342,6115,80,51,0,0
4,827,0.0,41,6445,80,39,0,0
5,4273,0.0,21,6748,80,218,0,2
5,2215,0.7058823529411765,196,7098,80,8,0,0
5,4221,0.5294117647058825,344,7222,80,4,0,0
5,4253,0.0,20,7351,80,8,0,0
5,571,0.411764705882353,343,7402,80,23,0,0
4,4088,0.3529411764705883,0,7424,80,217,0,2
5,569,0.0,324,7437,70,5,0,0
4,1648,0.0,512,7519,80,19,0,0
5,3949,0.0,469,7551,80,16,0,0
4,1371,0.3529411764705883,229,8316,80,32,0,0
6,3066,0.47058823529411775,392,3988,52,0,1,1
9,3066,0.6470588235294118,409,4341,52,0,1,1
9,3066,0.5882352941176472,411,6073,52,0,1,1
6,2230,0.823529411764706,325,7426,49,192,0,2
6,2956,0.5882352941176472,318,2329,20,6,0,0
6,2956,0.29411764705882354,318,5505,20,215,0,2
11,3392,0.3529411764705883,149,1477,29,184,0,2
6,3066,0.7058823529411765,392,4211,52,0,1,1
9,2837,0.5294117647058825,219,2485,49,214,0,2
8,3066,0.7647058823529412,240,6650,52,0,1,1
8,918,1.0,52,832,56,212,0,2
6,2462,0.8823529411764707,273,2369,80,199,0,2
